ИМЯ_ФАЙЛА,ЛОКАЛЬНЫЙ_ПУТЬ,ПУБЛИЧНЫЙ_GITHUB_ПУТЬ,PRIVATE_GITHUB_ПУТЬ,PUBLIC_GITHUB_COMMIT,PRIVATE_GITHUB_COMMIT,BITRIX24_GROUP_ID,BITRIX24_FOLDER_ID,BITRIX24_FILE_ID,SHA256,СТАТУС,КОММЕНТАРИЙ
README_АРХИВНОГО_ПАКЕТА_АНТИГРАВИТАЦИИ.md,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/README_АРХИВНОГО_ПАКЕТА_АНТИГРАВИТАЦИИ.md,docs/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/README_АРХИВНОГО_ПАКЕТА_АНТИГРАВИТАЦИИ.md,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/README_АРХИВНОГО_ПАКЕТА_АНТИГРАВИТАЦИИ.md,477b407,f055ece,620,420280,420282,62620cc0ca9bd92eea8ec29e7ef186195c1751809e8e11fc0d4b25e5f370bac1,СВЕРЕНО_SHA256,README архивного пакета
СЛОВАРЬ_АГРЕГИРОВАННЫХ_ДАННЫХ_АНТИГРАВИТАЦИИ.md,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/СЛОВАРЬ_АГРЕГИРОВАННЫХ_ДАННЫХ_АНТИГРАВИТАЦИИ.md,docs/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/СЛОВАРЬ_АГРЕГИРОВАННЫХ_ДАННЫХ_АНТИГРАВИТАЦИИ.md,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/СЛОВАРЬ_АГРЕГИРОВАННЫХ_ДАННЫХ_АНТИГРАВИТАЦИИ.md,477b407,f055ece,620,420280,420284,5fcdf87f6da8b2ba579abbd37d4af39c3ba89990eb5ae4fe1e61f608b5bcc166,СВЕРЕНО_SHA256,Словарь публичных агрегатов
ЧЕКЛИСТ_ПРОВЕРКИ_ПЕРЕД_ПУБЛИЧНЫМ_РЕЛИЗОМ_АНТИГРАВИТАЦИИ.md,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ЧЕКЛИСТ_ПРОВЕРКИ_ПЕРЕД_ПУБЛИЧНЫМ_РЕЛИЗОМ_АНТИГРАВИТАЦИИ.md,templates/АНТИГРАВИТАЦИЯ_АРХИВНЫЙ_РЕЛИЗ/ЧЕКЛИСТ_ПРОВЕРКИ_ПЕРЕД_ПУБЛИЧНЫМ_РЕЛИЗОМ_АНТИГРАВИТАЦИИ.md,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ЧЕКЛИСТ_ПРОВЕРКИ_ПЕРЕД_ПУБЛИЧНЫМ_РЕЛИЗОМ_АНТИГРАВИТАЦИИ.md,477b407,f055ece,620,420280,420286,2c196dfe9e787580c766c858bd80178360da7672008e1b87fb648f8f2720c1ca,СВЕРЕНО_SHA256,Предрелизный checklist
ПРОТОКОЛ_ВЕРСИОНИРОВАНИЯ_И_ХЭШЕЙ_АРХИВА_АНТИГРАВИТАЦИИ.md,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ПРОТОКОЛ_ВЕРСИОНИРОВАНИЯ_И_ХЭШЕЙ_АРХИВА_АНТИГРАВИТАЦИИ.md,docs/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ПРОТОКОЛ_ВЕРСИОНИРОВАНИЯ_И_ХЭШЕЙ_АРХИВА_АНТИГРАВИТАЦИИ.md,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ПРОТОКОЛ_ВЕРСИОНИРОВАНИЯ_И_ХЭШЕЙ_АРХИВА_АНТИГРАВИТАЦИИ.md,477b407,f055ece,620,420280,420288,9bcf37abc6ccae39df9a846cd4bc0c25b371d95bf915fa168ea3a37bdc8de790,СВЕРЕНО_SHA256,Протокол версионирования и хэшей
ШАБЛОН_МЕТАДАННЫХ_DOI_АНТИГРАВИТАЦИИ.md,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ШАБЛОН_МЕТАДАННЫХ_DOI_АНТИГРАВИТАЦИИ.md,docs/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ШАБЛОН_МЕТАДАННЫХ_DOI_АНТИГРАВИТАЦИИ.md,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/ШАБЛОН_МЕТАДАННЫХ_DOI_АНТИГРАВИТАЦИИ.md,477b407,f055ece,620,420280,420290,39d050bdc158d20e80b60b72dd5bfe4033a381345acc0a93bd5cfaf5e70b4e3f,СВЕРЕНО_SHA256,Шаблон DOI-метаданных
МАНИФЕСТ_DOI_АРХИВА_АНТИГРАВИТАЦИИ.csv,АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/МАНИФЕСТ_DOI_АРХИВА_АНТИГРАВИТАЦИИ.csv,datasets-public/templates/АНТИГРАВИТАЦИЯ_АРХИВНЫЙ_РЕЛИЗ/МАНИФЕСТ_DOI_АРХИВА_АНТИГРАВИТАЦИИ.csv,DOI_АРХИВНЫЙ_РЕЛИЗ/АНТИГРАВИТАЦИЯ_DOI_АРХИВНЫЙ_РЕЛИЗ/МАНИФЕСТ_DOI_АРХИВА_АНТИГРАВИТАЦИИ.csv,477b407,f055ece,620,420280,420292,08974bdf74a80ea1e08eff6b543f2778180638691eecd25fb6e2e156808c42b8,СВЕРЕНО_SHA256,CSV-манифест DOI-архива
